Message,Label
Omg! ❤️,0
Loved the video!,0
Welcome to my Instagram! I’m so excited to connect with you and share my journey with you. I hope you enjoy my content and follow me for more amazing posts. ❤️,0
These are so pretty!,0
Will you be my Valentine?,0
Good morning ❤️❤️❤️,0
I’m trying to raise awareness for this cause. It’s important that we all do our part to help.,0
I feel like I'm a better person when I'm cleaning 😂,0
Hey beautiful,1
I tried your sellers website and it is not working me. Please fix it asap.,1
I hope you had a good day today,0
🫀🫀🫀🥰🥰🥰🥰🥰🥰🫀🫀🫀🫀🫀🥰🥰🥰🫀🫀,0
@ziz0452 You will get paid tomorrow 😂😂😂,0
"Your profile is so clean, I’m jealous 💦",0
@lucy_belle_jane I’m in love with your style. Do you mind if I ask you where your clothes are from?,0
attend my virtual meeting,0
"i’m a fan, you are so beautiful 😍",0
I just wanted to say that I appreciate your work. ð,0
Mhmm,0
👍🏻,1
"Wow, your post is so inspiring and motivational! You are such an amazing person and I'm so glad to have you in my life. Thanks for being there for me and always being there to support me!",0
"I’m in the same boat as you. It’s so frustrating when we just can’t get what we want, even though we know it’s good for us. But I think it’s important to remember that we are",0
I like this photo. ❤️❤️❤️,0
I’m a new model and i’m looking for a twitter follow back.,1
You look great 🥰🥰,0
Hey!,1
"Hello,",0
🌸🌸🌸,1
Thank you for the follow!,1
@taylorswift 😍😍😍😍 how did this happen,0
bro jayden! 😘,0
Is there a way to get followers for free? ? I am trying to market my business and I have spent all my money on promotion! ? I was thinking of following people but I heard that you can get followers for free. ? I am trying,1
"I’m sorry to hear that. If you need any help, please don’t hesitate to let me know.",0
"I'll try to get back to you later today, thanks for the message.",0
"You're a ""genius"" and I'm so proud of you for your achievements! You're so smart, beautiful, and kind-hearted. You're my best friend and I love you dearly. 💕",0
I'm feeling so melodramatic today lol,0
I really need you to come and see me ....,1
@_srinidhi_shetty123_ you are soo cute,0
@alexisren you're so beautiful,0
"@ladycat_84782627, 100000 likes. Love you",0
,0
Hey,0
I am curious about your business and how it is growing. Can you tell me more about what you do?,0
Hey,0
I got you.,0
Thank you for the follow. You’re beautiful.,0
@,0
Love,0
heyyy 😋,0
@henryhack,1
Let me know what you think of the outfit!,0
@sarah_perez what kind of message do you want to send? #instagram,1
I’d love to hear your thoughts on this.,1
"Hey, thanks for the follow! 🤗",0
"Congratulations, you’ve won a quiz and you get a prize of 1000€!",1
"Hey there, I’m sorry to hear that you’re having trouble with your Instagram account. I’m here to help you get back online as quickly as possible. Can you please provide some more details about what’s happening?",0
i'm really having a terrible day,1
Happy birthday 🎂 🎈🎉,1
@welcome,0
"I know people who got in trouble for that last one, so I don't think it would be a good idea to share that kind of thing.",0
@iam_mshmshmshmshmshmshmshmshmshmshmshmshmshmshm_,1
Hope you have a wonderful day ahead,0
I’ve been waiting for this moment my entire life! 💕,1
Could I have your number pls?,0
🐛👁,0
Bedroom haha.,0
Do you want to do it alone?,0
😘😘😘,0
"Oh no, I accidentally deleted the photo you sent me :(",0
"Hi, your post is interesting.",0
My love❤️,1
Good morning to all of you,0
I’m at work.,0
"I am always looking for new music, so if you have any recommendations please let me know!",0
Hey! Wanna get your Instagram account verified? I can help you with that! Just DM me and we can get started.,1
"Hellooooo dear ,",0
Happy birthday to you,0
op,1
wow,0
Hey!,1
Heyy,0
Do you have a driver’s license?,0
I'm ready to do anything you want.,0
Solidifying your position as a key player in the market,0
And you’re done.,0
"Hey, @tai.bautista, I’m here because i saw you on my ‘Following’ list.",0
You look so beautiful,0
@fashionista.mag,0
Cúc. I can't believe you are still alive. I know that you are doing well.,0
Hey! I'm looking for a internship in a good company. Can you help me out in this ?,0
"Hi, can you check my Instagram for a moment?",1
I love the way you are. You are so funny 😂,0
I’m wanting to give my address for the delivery.,0
U can drop by anytime,0
I’m sorry I’m not here right now,1
Hey! This is a message from the Instagram team. We are writing to you because we have noticed some unusual activity on your account. We believe that someone may be trying to access your account without your permission. If you did not make any changes to,0
@flauntit,0
"And there’s a very simple way to do that: just right click on the image. You’ll see a pop-up menu with options to save the image, share it, or copy it to the clipboard.",0
"@bethany.ganss I didn't choose to be a part of this world, but I chose to change it.",0
😃😃😃,1
would you be able to send me some?,0
I'm so tired of this school. I can’t even think straight. Just let me sit down and take a break.,0
hey!,0
You have more followers. You have 3k more followers.,1
You are so cute😍😍😍😘,0
Wow I really love this ❤️❤️❤️❤️❤️ soooo cute,0
"Hey , u look so beautiful \uD83D\uDE03",0
Nice !,0
Need your help,0
Today is the day! We’re excited to share that our new album will be released on September 1st. Pre-order the album now and get instant access to the first single “I Don’t Want to Be Your Friend”,0
Good luck on your exams!,0
"Good morning, I am here to help you solve your problems and answer your questions. Please let me know if I can help you.",0
@rojan\_1166 😇❤️😊,0
@gabriel.dias76,0
I miss you,0
I am looking for a new t-shirt and thought your store might have something I like. Any suggestions?,0
"I'm sorry to hear that, and I'm here to help if you need anything. Let me know how I can assist you.",0
💥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥 🔥,1
in the 12th I got 97 percent 😂,0
"Hello, I'm a bit curious, I see that you follow me and I'm wondering what type of content you like to see?",0
I think the image is really awesome. ❤️,0
Help me! Can you help me with my assignment? I have no idea what to do.,0
Kindly sell me airpods pro 2nd gen.,1
So you have a new post on your blog?,0
Taking all these smiles will be a great start for this week.,0
@split_soul.daily.soulsplits: 💜💜💜💜,1
@zebzebzeb,0
"Hey! I'm just looking at your profile and came across this cool photo of you. I'm really into photography, and I couldn't help but notice how great your photos are. I love the way you capture the light and the",1
Haha,0
Hola Karina!!!!,0
Hmm I think you should try cooking that with a pressure cooker!,0
Yo,0
You're so beautiful in this dress 💓🌹,1
oh my god!! 🤩,1
Morning ❤️,0
Hey 👋,0
Are you available?,0
"Fourth of July is coming up, and I know you’re going to have a blast! I hope you enjoy all the festivities and fireworks. 🎆 #happy4thofjuly",0
Ahahahahaha,0
👋👋,0
yeah !!!,1
@jyashn1234567890 hey bro.,1
👍🏾,1
Which one you choose?,0
Hey 👋🏻,0
I'm so bored 🤣,0
Amen,0
i love this ❤️✋🏼,1
@chrisbrown 😍☺️,0
"“We’ve been trying to get in touch with you, but haven’t had much luck. If you have some time, please give us a call at 833-758-8914. We can explain",1
So pretty!,0
"Hello 👋, have you seen my story?",0
"I’m a 27 years old girl from England, I’m looking for a relationship. It would be great if we could get to know each other a little more about our interests, hobbies etc 🙂",0
@messagetovalue what do you think about this topic,0
"Wow! what a great picture, you look stunning 😍 😍",0
@billboard I’m a big fan of the magazine. Do you have any plans to start a podcast or YouTube channel? I’d love to hear more from you!,0
Thankss 😘,0
Hmmm… I am not sure where I have seen this.,0
https://www.instagram.com/p/Bg3AW6bJuQe/?igshid=YmMyMTA2M2Y=,1
"Hey @kirensarabia ,",0
lmao 😂😂😂😂,0
"It is a bit late right now, but you can always come over to my place tomorrow.",0
@\_cyberkitten 😻😻😻😻😻😻😻😻😻😻,1
Happy birthday to you,0
Thank you for the follow ❤️,0
chickpeas are good for you,0
Thank you for the follow!!!,0
🙂 hello,0
"I know you're not my boyfriend, but I want to be your girlfriend.",0
😒....,0
😂,0
@johnsmith23 ✨,1
"@boop.boop.boop.3466, great post",0
Is this the right number?,1
"Lend me a hand with this, please. I'll be eternally grateful.",1
😃,0
"I’m sorry, but I can’t seem to find the post you’re talking about. Did you already delete it?",0
Happy New Year!,0
I've been thinking about you all day. We need to talk.,1
Wow that’s a great idea!,0
Nice!,0
Hey! I'm Marilyn and I'm 23 years old. I'm from Australia. Do you want to chat?,0
wow,0
@lily32311,1
Hello,0
@mya.g.123 heyyy,0
Baby! TikTok has banned using external music on videos.,1
"I think it’s a little weird that you’ve been liking my photos for the past few months, but we’ve never actually met.",1
How are you doing?,0
can you send me a direct message,1
I am watching you,0
Why don't you watch my stream?,0
"Wow, this is amazing! I love it so much!",0
You look so good 😍,0
🙂,0
@hodie.fashion ❤️,0
"I am so happy for you, congratulations! I love your posts and you are so talented.",0
what’s up ?,0
"Wow, that's a unique way to express yourself. I'm glad you shared your thoughts with me.",0
Hey! I’m doing a research on social media and I really need your help. Can I ask you a couple of questions?,0
"hey babes, i always wanted to model too, can you tell me what i should do to get started?",0
I just can't wait for Monday.,1
"We are a group of friends who love to hang out and have fun. We're always up for trying new things and exploring new places. If you're looking for a good time, DM us and we'll see what we can do",0
I'm a little bit exhausted right now. I need to get some rest so I'm going to go to bed early. Hope to see you tomorrow ✌️,0
📸 📸,0
Let me just say that I need you in my life right now.,0
Hope you had the best day today ❤️,0
thank you for the follow 🤗,0
"Hm, maybe I should stop trying to contact you. I'm sorry you didn't like the idea.",0
"Hey,",1
beach vibes,0
"When I saw this car in the movie, I fell in love with it. I’ve been searching for a car like this, and you’re selling it! I need to get one as soon as possible.",0
hello,0
"I'm so sorry, I won't be able to make it tomorrow. I'm feeling really under the weather and I just can't shake this cold. I hope you understand.",0
I'm so happy that you liked my post. It means a lot to me. ☺️,0
＼(^o^)／ヽ(＾▽＾)／,1
"I’m currently working on something very big, you can’t even imagine it 😄",1
🤗,0
I’m on a date with a hot girl and I’m so happy with this.,0
Hey,0
I'm so proud of you.,1
@bysamia.and.co I wanna try these with a smaller size but I have no idea how to get those measurements 😩,0
I’m not sure if I want to go to your party or not. I’m just not sure if I want to deal with all of the drama.,0
"Hi there, I hope your day is going great!",0
😃,1
Happy birthday 🎂🎈🎊,1
Oh my goodness I love it! 😍,0
"Hey, I just wanted to let you know that I’ve seen your latest post and it’s amazing! I love the way you captured the beauty of nature in this photo. Keep up the great work. ✨",0
Ok,1
I can't believe I have to wear this stupid monkey shirt to work.,0
hey @clerimont 👋🏼,0
😍❤️,1
"Hey @hanaracha, how are you today?",0
السلام عليكم,0
Are you working tonight?,1
I love your style 😍,0
I'm here to help you with your finances. I can help you save money and make more money.,0
My love 😍🥰,1
Heyy! 🔥🔥🔥💥💥💥💥🔥🔥🔥💥💥💥💥🔥🔥🔥💥,0
Hair goals 🤩,0
I’m so sorry. But I’m not interested in friendship with anyone. Thank you for understanding.,0
🤩 🙂,1
I’m a little concerned because you’re not speaking to me. I don’t want to be your friend.,0
"the turtle was big and fat, and so were the hands",1
How’s it going?,0
"I’ll be honest, I stopped smoking weed a long time ago. I’ll never be sober, but I’ve been clean for a while.",0
@bigbang.hq@,0
"Hi, I love your profile, I’m new to insta and I want to know how you get followers quickly?",1
Okay.,0
It's a great idea! I've been wanting to try this out for a while. Thanks for the recommendation. 😊,0
@brnwndilf 👋🏾 HI!,0
Thank you so much 😘😘,0
I will see you once again my dear!,0
Did you see my new post?,0
Happy birthday to you!,0
@hot_girl_beauty_5607982508798412737 🤩🤩🤩😍😚😚,0
"Sorry, I can't see your message.",0
"i’m an alien from mars, i just want to know whats ur name 😙",1
Hi,0
Did you know that the most popular color in the world is blue?,0
